"kommune","parti","stemmer"
"0616 Nes (Busk.)","Høyre",368
"0616 Nes (Busk.)","Senterpartiet",323
"0616 Nes (Busk.)","Sosialistisk Venstreparti",30
"0616 Nes (Busk.)","Rød valgallianse",3
"0616 Nes (Busk.)","Ensliges parti",1
"0616 Nes (Busk.)","Norges demokratiske parti",1
"0616 Nes (Busk.)","Fellesliste Venstre",73
"0616 Nes (Busk.)","Fellesliste Kristelig folkeparti",266
"0616 Nes (Busk.)","Fellesliste Det nye Folkepartiet",3
"0617 Gol","Arbeiderpartiet",707
"0617 Gol","Fremskrittspartiet",34
"0617 Gol","Høyre",467
"0617 Gol","Senterpartiet",502
"0617 Gol","Sosialistisk Venstreparti",53
"0617 Gol","Norges Kommunistiske Parti",3
"0617 Gol","Rød valgallianse",2
"0617 Gol","Norges demokratiske parti",2
"0617 Gol","Fellesliste Venstre",122
"0617 Gol","Fellesliste Kristelig folkeparti",273
"0617 Gol","Fellesliste Det nye Folkepartiet",6
"0618 Hemsedal","Arbeiderpartiet",190
"0618 Hemsedal","Fremskrittspartiet",6
"0618 Hemsedal","Høyre",201
"0618 Hemsedal","Senterpartiet",282
"0618 Hemsedal","Sosialistisk Venstreparti",10
"0618 Hemsedal","Frie Folkevalgte",1
"0618 Hemsedal","Fellesliste Venstre",39
"0618 Hemsedal","Fellesliste Kristelig folkeparti",166
"0619 Ål","Arbeiderpartiet",851
"0619 Ål","Fremskrittspartiet",29
"0619 Ål","Høyre",453
"0619 Ål","Senterpartiet",581
"0619 Ål","Sosialistisk Venstreparti",74
"0619 Ål","Norges Kommunistiske Parti",2
"0619 Ål","Rød valgallianse",8
"0619 Ål","Frie Folkevalgte",4
"0619 Ål","Ensliges parti",1
"0619 Ål","Norges demokratiske parti",2
"0619 Ål","Fellesliste Venstre",221
"0619 Ål","Fellesliste Kristelig folkeparti",377
"0619 Ål","Fellesliste Det nye Folkepartiet",6
"0620 Hol","Arbeiderpartiet",1000
"0620 Hol","Fremskrittspartiet",46
"0620 Hol","Høyre",720
"0620 Hol","Senterpartiet",360
"0620 Hol","Sosialistisk Venstreparti",57
"0620 Hol","Norges Kommunistiske Parti",2
"0620 Hol","Rød valgallianse",2
"0620 Hol","Frie Folkevalgte",2
"0620 Hol","Ensliges parti",2
"0620 Hol","Norges demokratiske parti",4
"0620 Hol","Fellesliste Venstre",132
"0620 Hol","Fellesliste Kristelig folkeparti",203
"0620 Hol","Fellesliste Det nye Folkepartiet",11
"0621 Sigdal","Arbeiderpartiet",877
"0621 Sigdal","Fremskrittspartiet",29
"0621 Sigdal","Høyre",451
"0621 Sigdal","Senterpartiet",742
"0621 Sigdal","Sosialistisk Venstreparti",30
"0621 Sigdal","Norges Kommunistiske Parti",4
"0621 Sigdal","Rød valgallianse",2
"0621 Sigdal","Ensliges parti",2
"0621 Sigdal","Fellesliste Venstre",19
"0621 Sigdal","Fellesliste Kristelig folkeparti",131
"0621 Sigdal","Fellesliste Det nye Folkepartiet",1
"0622 Krødsherad","Arbeiderpartiet",648
"0622 Krødsherad","Fremskrittspartiet",7
"0622 Krødsherad","Høyre",245
"0622 Krødsherad","Senterpartiet",222
"0622 Krødsherad","Sosialistisk Venstreparti",73
"0622 Krødsherad","Norges Kommunistiske Parti",4
"0622 Krødsherad","Rød valgallianse",2
"0622 Krødsherad","Frie Folkevalgte",1
"0622 Krødsherad","Ensliges parti",1
"0622 Krødsherad","Fellesliste Venstre",5
"0622 Krødsherad","Fellesliste Kristelig folkeparti",84
"0622 Krødsherad","Fellesliste Det nye Folkepartiet",6
"0623 Modum","Arbeiderpartiet",4130
"0623 Modum","Fremskrittspartiet",66
"0623 Modum","Høyre",1117
"0623 Modum","Senterpartiet",936
"0623 Modum","Sosialistisk Venstreparti",316
"0623 Modum","Norges Kommunistiske Parti",53
"0623 Modum","Rød valgallianse",7
"0623 Modum","Frie Folkevalgte",1
"0623 Modum","Ensliges parti",9
"0623 Modum","Norges demokratiske parti",5
"0623 Modum","Fellesliste Venstre",33
"0623 Modum","Fellesliste Kristelig folkeparti",501
"0623 Modum","Fellesliste Det nye Folkepartiet",22
"0624 Øvre Eiker","Arbeiderpartiet",3885
"0624 Øvre Eiker","Fremskrittspartiet",104
"0624 Øvre Eiker","Høyre",1636
"0624 Øvre Eiker","Senterpartiet",1116
"0624 Øvre Eiker","Sosialistisk Venstreparti",399
"0624 Øvre Eiker","Norges Kommunistiske Parti",61
"0624 Øvre Eiker","Rød valgallianse",20
"0624 Øvre Eiker","Frie Folkevalgte",4
"0624 Øvre Eiker","Ensliges parti",10
"0624 Øvre Eiker","Norges demokratiske parti",7
"0624 Øvre Eiker","Fellesliste Venstre",81
"0624 Øvre Eiker","Fellesliste Kristelig folkeparti",612
"0624 Øvre Eiker","Fellesliste Det nye Folkepartiet",34
"0625 Nedre Eiker","Arbeiderpartiet",5170
"0625 Nedre Eiker","Fremskrittspartiet",148
"0625 Nedre Eiker","Høyre",1807
"0625 Nedre Eiker","Senterpartiet",462
"0625 Nedre Eiker","Sosialistisk Venstreparti",647
"0625 Nedre Eiker","Norges Kommunistiske Parti",74
"0625 Nedre Eiker","Rød valgallianse",19
"0625 Nedre Eiker","Frie Folkevalgte",4
"0625 Nedre Eiker","Ensliges parti",9
"0625 Nedre Eiker","Norges demokratiske parti",12
"0625 Nedre Eiker","Fellesliste Venstre",78
"0625 Nedre Eiker","Fellesliste Kristelig folkeparti",718
"0625 Nedre Eiker","Fellesliste Det nye Folkepartiet",40
"0626 Lier","Arbeiderpartiet",4713
"0626 Lier","Fremskrittspartiet",146
"0626 Lier","Høyre",2975
"0626 Lier","Senterpartiet",1150
"0626 Lier","Sosialistisk Venstreparti",354
"0626 Lier","Norges Kommunistiske Parti",16
"0626 Lier","Rød valgallianse",38
"0626 Lier","Frie Folkevalgte",9
"0626 Lier","Ensliges parti",10
"0626 Lier","Norges demokratiske parti",9
"0626 Lier","Fellesliste Venstre",160
"0626 Lier","Fellesliste Kristelig folkeparti",497
"0626 Lier","Fellesliste Det nye Folkepartiet",40
"0627 Røyken","Arbeiderpartiet",3170
"0627 Røyken","Fremskrittspartiet",137
"0627 Røyken","Høyre",1858
"0627 Røyken","Senterpartiet",485
"0627 Røyken","Sosialistisk Venstreparti",325
"0627 Røyken","Norges Kommunistiske Parti",43
"0627 Røyken","Rød valgallianse",33
"0627 Røyken","Frie Folkevalgte",2
"0627 Røyken","Ensliges parti",8
"0627 Røyken","Norges demokratiske parti",8
"0627 Røyken","Fellesliste Venstre",124
"0627 Røyken","Fellesliste Kristelig folkeparti",335
"0627 Røyken","Fellesliste Det nye Folkepartiet",39
"0628 Hurum","Arbeiderpartiet",2516
"0628 Hurum","Fremskrittspartiet",41
"0628 Hurum","Høyre",899
"0628 Hurum","Senterpartiet",216
"0628 Hurum","Sosialistisk Venstreparti",179
"0628 Hurum","Norges Kommunistiske Parti",40
"0628 Hurum","Rød valgallianse",2
"0628 Hurum","Frie Folkevalgte",6
"0628 Hurum","Ensliges parti",6
"0628 Hurum","Norges demokratiske parti",8
"0628 Hurum","Fellesliste Venstre",17
"0628 Hurum","Fellesliste Kristelig folkeparti",357
"0628 Hurum","Fellesliste Det nye Folkepartiet",13
"0631 Flesberg","Arbeiderpartiet",515
"0631 Flesberg","Fremskrittspartiet",22
"0631 Flesberg","Høyre",270
"0631 Flesberg","Senterpartiet",370
"0631 Flesberg","Sosialistisk Venstreparti",37
"0631 Flesberg","Norges Kommunistiske Parti",2
"0631 Flesberg","Rød valgallianse",2
"0631 Flesberg","Frie Folkevalgte",2
"0631 Flesberg","Norges demokratiske parti",1
"0631 Flesberg","Fellesliste Venstre",40
"0631 Flesberg","Fellesliste Kristelig folkeparti",97
"0631 Flesberg","Fellesliste Det nye Folkepartiet",5
"0632 Rollag","Arbeiderpartiet",349
"0632 Rollag","Fremskrittspartiet",8
"0632 Rollag","Høyre",116
"0632 Rollag","Senterpartiet",239
"0632 Rollag","Sosialistisk Venstreparti",23
"0632 Rollag","Norges Kommunistiske Parti",4
"0632 Rollag","Rød valgallianse",2
"0632 Rollag","Frie Folkevalgte",1
"0632 Rollag","Ensliges parti",1
"0632 Rollag","Fellesliste Venstre",15
"0632 Rollag","Fellesliste Kristelig folkeparti",116
"0633 Nore og Uvdal","Arbeiderpartiet",751
"0633 Nore og Uvdal","Fremskrittspartiet",67
"0633 Nore og Uvdal","Høyre",247
"0633 Nore og Uvdal","Senterpartiet",387
"0633 Nore og Uvdal","Sosialistisk Venstreparti",39
"0633 Nore og Uvdal","Norges Kommunistiske Parti",1
"0633 Nore og Uvdal","Rød valgallianse",4
"0633 Nore og Uvdal","Frie Folkevalgte",3
"0633 Nore og Uvdal","Ensliges parti",5
"0633 Nore og Uvdal","Norges demokratiske parti",1
"0633 Nore og Uvdal","Fellesliste Venstre",16
"0633 Nore og Uvdal","Fellesliste Kristelig folkeparti",209
"0633 Nore og Uvdal","Fellesliste Det nye Folkepartiet",5
"0702 Holmestrand","Arbeiderpartiet",2593
"0702 Holmestrand","Fremskrittspartiet",78
"0702 Holmestrand","Høyre",1179
"0702 Holmestrand","Kristelig Folkeparti",447
"0702 Holmestrand","Senterpartiet",370
"0702 Holmestrand","Sosialistisk Venstreparti",134
"0702 Holmestrand","Venstre",90
"0702 Holmestrand","Norges Kommunistiske Parti",12
"0702 Holmestrand","Rød valgallianse",29
"0702 Holmestrand","Frie Folkevalgte",5
"0702 Holmestrand","Det nye Folkepartiet (1973-1977)",37
"0702 Holmestrand","Ensliges parti",4
"0702 Holmestrand","Norges demokratiske parti",3
"0703 Horten (-1987)","Arbeiderpartiet",3903
"0703 Horten (-1987)","Fremskrittspartiet",118
"0703 Horten (-1987)","Høyre",2660
"0703 Horten (-1987)","Kristelig Folkeparti",581
"0703 Horten (-1987)","Senterpartiet",71
"0703 Horten (-1987)","Sosialistisk Venstreparti",248
"0703 Horten (-1987)","Venstre",186
"0703 Horten (-1987)","Norges Kommunistiske Parti",12
"0703 Horten (-1987)","Rød valgallianse",64
"0703 Horten (-1987)","Frie Folkevalgte",4
"0703 Horten (-1987)","Det nye Folkepartiet (1973-1977)",63
"0703 Horten (-1987)","Ensliges parti",4
"0703 Horten (-1987)","Norges demokratiske parti",3
"0705 Tønsberg (-1987)","Arbeiderpartiet",2628
"0705 Tønsberg (-1987)","Fremskrittspartiet",120
"0705 Tønsberg (-1987)","Høyre",2386
"0705 Tønsberg (-1987)","Kristelig Folkeparti",599
"0705 Tønsberg (-1987)","Senterpartiet",116
"0705 Tønsberg (-1987)","Sosialistisk Venstreparti",219
"0705 Tønsberg (-1987)","Venstre",109
"0705 Tønsberg (-1987)","Norges Kommunistiske Parti",18
"0705 Tønsberg (-1987)","Rød valgallianse",30
"0705 Tønsberg (-1987)","Frie Folkevalgte",4
"0705 Tønsberg (-1987)","Det nye Folkepartiet (1973-1977)",63
"0705 Tønsberg (-1987)","Ensliges parti",19
"0705 Tønsberg (-1987)","Norges demokratiske parti",4
"0706 Sandefjord (-2016)","Arbeiderpartiet",6739
"0706 Sandefjord (-2016)","Fremskrittspartiet",442
"0706 Sandefjord (-2016)","Høyre",8037
"0706 Sandefjord (-2016)","Kristelig Folkeparti",2158
"0706 Sandefjord (-2016)","Senterpartiet",840
"0706 Sandefjord (-2016)","Sosialistisk Venstreparti",387
"0706 Sandefjord (-2016)","Venstre",536
"0706 Sandefjord (-2016)","Norges Kommunistiske Parti",35
"0706 Sandefjord (-2016)","Rød valgallianse",68
"0706 Sandefjord (-2016)","Frie Folkevalgte",7
"0706 Sandefjord (-2016)","Det nye Folkepartiet (1973-1977)",282
"0706 Sandefjord (-2016)","Ensliges parti",21
"0706 Sandefjord (-2016)","Norges demokratiske parti",12
"0707 Larvik (-1987)","Arbeiderpartiet",2916
"0707 Larvik (-1987)","Fremskrittspartiet",68
"0707 Larvik (-1987)","Høyre",1351
"0707 Larvik (-1987)","Kristelig Folkeparti",569
"0707 Larvik (-1987)","Senterpartiet",61
"0707 Larvik (-1987)","Sosialistisk Venstreparti",268
"0707 Larvik (-1987)","Venstre",255
"0707 Larvik (-1987)","Norges Kommunistiske Parti",16
"0707 Larvik (-1987)","Rød valgallianse",24
"0707 Larvik (-1987)","Frie Folkevalgte",1
"0707 Larvik (-1987)","Det nye Folkepartiet (1973-1977)",79
"0707 Larvik (-1987)","Ensliges parti",2
"0708 Stavern (1944-1987)","Arbeiderpartiet",628
"0708 Stavern (1944-1987)","Fremskrittspartiet",17
"0708 Stavern (1944-1987)","Høyre",619
"0708 Stavern (1944-1987)","Kristelig Folkeparti",139
"0708 Stavern (1944-1987)","Senterpartiet",8
"0708 Stavern (1944-1987)","Sosialistisk Venstreparti",40
"0708 Stavern (1944-1987)","Venstre",60
"0708 Stavern (1944-1987)","Rød valgallianse",7
"0708 Stavern (1944-1987)","Frie Folkevalgte",2
"0708 Stavern (1944-1987)","Det nye Folkepartiet (1973-1977)",34
"0711 Svelvik","Arbeiderpartiet",1519
"0711 Svelvik","Fremskrittspartiet",40
"0711 Svelvik","Høyre",837
"0711 Svelvik","Kristelig Folkeparti",204
"0711 Svelvik","Senterpartiet",190
"0711 Svelvik","Sosialistisk Venstreparti",78
"0711 Svelvik","Venstre",35
"0711 Svelvik","Norges Kommunistiske Parti",2
"0711 Svelvik","Rød valgallianse",1
"0711 Svelvik","Det nye Folkepartiet (1973-1977)",25
"0711 Svelvik","Ensliges parti",3
"0711 Svelvik","Norges demokratiske parti",2
"0713 Sande (Vestf.)","Arbeiderpartiet",1769
"0713 Sande (Vestf.)","Fremskrittspartiet",59
"0713 Sande (Vestf.)","Høyre",657
"0713 Sande (Vestf.)","Kristelig Folkeparti",204
"0713 Sande (Vestf.)","Senterpartiet",527
"0713 Sande (Vestf.)","Sosialistisk Venstreparti",81
"0713 Sande (Vestf.)","Venstre",39
"0713 Sande (Vestf.)","Norges Kommunistiske Parti",12
"0713 Sande (Vestf.)","Rød valgallianse",5
"0713 Sande (Vestf.)","Frie Folkevalgte",2
"0713 Sande (Vestf.)","Det nye Folkepartiet (1973-1977)",35
"0713 Sande (Vestf.)","Ensliges parti",2
"0713 Sande (Vestf.)","Norges demokratiske parti",2
"0714 Hof","Arbeiderpartiet",739
"0714 Hof","Fremskrittspartiet",22
"0714 Hof","Høyre",258
"0714 Hof","Kristelig Folkeparti",133
"0714 Hof","Senterpartiet",281
"0714 Hof","Sosialistisk Venstreparti",32
"0714 Hof","Venstre",20
"0714 Hof","Norges Kommunistiske Parti",1
"0714 Hof","Rød valgallianse",4
"0714 Hof","Det nye Folkepartiet (1973-1977)",3
"0716u Våle (-2001)","Arbeiderpartiet",554
"0716u Våle (-2001)","Fremskrittspartiet",24
"0716u Våle (-2001)","Høyre",509
"0716u Våle (-2001)","Kristelig Folkeparti",264
"0716u Våle (-2001)","Senterpartiet",527
"0716u Våle (-2001)","Sosialistisk Venstreparti",26
"0716u Våle (-2001)","Venstre",23
"0716u Våle (-2001)","Rød valgallianse",2
"0716u Våle (-2001)","Frie Folkevalgte",1
"0716u Våle (-2001)","Det nye Folkepartiet (1973-1977)",8
"0716u Våle (-2001)","Ensliges parti",1
"0716u Våle (-2001)","Norges demokratiske parti",3
"0717 Borre (-1987)","Arbeiderpartiet",1985
"0717 Borre (-1987)","Fremskrittspartiet",86
"0717 Borre (-1987)","Høyre",1659
"0717 Borre (-1987)","Kristelig Folkeparti",380
"0717 Borre (-1987)","Senterpartiet",337
"0717 Borre (-1987)","Sosialistisk Venstreparti",127
"0717 Borre (-1987)","Venstre",103
"0717 Borre (-1987)","Norges Kommunistiske Parti",3
"0717 Borre (-1987)","Rød valgallianse",19
"0717 Borre (-1987)","Frie Folkevalgte",4
"0717 Borre (-1987)","Det nye Folkepartiet (1973-1977)",38
"0717 Borre (-1987)","Ensliges parti",7
"0717 Borre (-1987)","Norges demokratiske parti",1
"0718 Ramnes (-2001)","Arbeiderpartiet",519
"0718 Ramnes (-2001)","Fremskrittspartiet",22
"0718 Ramnes (-2001)","Høyre",392
"0718 Ramnes (-2001)","Kristelig Folkeparti",204
"0718 Ramnes (-2001)","Senterpartiet",492
"0718 Ramnes (-2001)","Sosialistisk Venstreparti",28
"0718 Ramnes (-2001)","Venstre",31
"0718 Ramnes (-2001)","Norges Kommunistiske Parti",1
"0718 Ramnes (-2001)","Rød valgallianse",5
"0718 Ramnes (-2001)","Frie Folkevalgte",2
"0718 Ramnes (-2001)","Det nye Folkepartiet (1973-1977)",6
"0718 Ramnes (-2001)","Ensliges parti",2
"0719 Andebu (-2016)","Arbeiderpartiet",619
"0719 Andebu (-2016)","Fremskrittspartiet",59
"0719 Andebu (-2016)","Høyre",606
"0719 Andebu (-2016)","Kristelig Folkeparti",276
"0719 Andebu (-2016)","Senterpartiet",370
"0719 Andebu (-2016)","Sosialistisk Venstreparti",39
"0719 Andebu (-2016)","Venstre",139
"0719 Andebu (-2016)","Norges Kommunistiske Parti",2
"0719 Andebu (-2016)","Rød valgallianse",2
"0719 Andebu (-2016)","Det nye Folkepartiet (1973-1977)",22
"0719 Andebu (-2016)","Ensliges parti",1
"0720 Stokke (-2016)","Arbeiderpartiet",1228
"0720 Stokke (-2016)","Fremskrittspartiet",136
"0720 Stokke (-2016)","Høyre",1229
"0720 Stokke (-2016)","Kristelig Folkeparti",558
"0720 Stokke (-2016)","Senterpartiet",573
"0720 Stokke (-2016)","Sosialistisk Venstreparti",101
"0720 Stokke (-2016)","Venstre",134
"0720 Stokke (-2016)","Norges Kommunistiske Parti",2
"0720 Stokke (-2016)","Rød valgallianse",4
"0720 Stokke (-2016)","Frie Folkevalgte",1
"0720 Stokke (-2016)","Det nye Folkepartiet (1973-1977)",27
"0720 Stokke (-2016)","Ensliges parti",4
"0721 Sem (-1987)","Arbeiderpartiet",4537
"0721 Sem (-1987)","Fremskrittspartiet",302
"0721 Sem (-1987)","Høyre",4679
"0721 Sem (-1987)","Kristelig Folkeparti",1226
"0721 Sem (-1987)","Senterpartiet",772
"0721 Sem (-1987)","Sosialistisk Venstreparti",297
"0721 Sem (-1987)","Venstre",307
"0721 Sem (-1987)","Norges Kommunistiske Parti",12
"0721 Sem (-1987)","Rød valgallianse",26
"0721 Sem (-1987)","Frie Folkevalgte",11
"0721 Sem (-1987)","Det nye Folkepartiet (1973-1977)",94
"0721 Sem (-1987)","Ensliges parti",23
"0721 Sem (-1987)","Norges demokratiske parti",7
"0722 Nøtterøy","Arbeiderpartiet",3045
"0722 Nøtterøy","Fremskrittspartiet",243
"0722 Nøtterøy","Høyre",4422
"0722 Nøtterøy","Kristelig Folkeparti",815
"0722 Nøtterøy","Senterpartiet",373
"0722 Nøtterøy","Sosialistisk Venstreparti",269
"0722 Nøtterøy","Venstre",220
"0722 Nøtterøy","Norges Kommunistiske Parti",12
"0722 Nøtterøy","Rød valgallianse",29
"0722 Nøtterøy","Frie Folkevalgte",8
"0722 Nøtterøy","Det nye Folkepartiet (1973-1977)",132
"0722 Nøtterøy","Ensliges parti",8
"0722 Nøtterøy","Norges demokratiske parti",1
"0723 Tjøme","Arbeiderpartiet",669
"0723 Tjøme","Fremskrittspartiet",82
"0723 Tjøme","Høyre",915
"0723 Tjøme","Kristelig Folkeparti",149
"0723 Tjøme","Senterpartiet",63
"0723 Tjøme","Sosialistisk Venstreparti",40
"0723 Tjøme","Venstre",28
"0723 Tjøme","Norges Kommunistiske Parti",2
"0723 Tjøme","Rød valgallianse",11
"0723 Tjøme","Frie Folkevalgte",1
"0723 Tjøme","Det nye Folkepartiet (1973-1977)",36
"0723 Tjøme","Ensliges parti",2
"0725 Tjølling (-1987)","Arbeiderpartiet",1829
"0725 Tjølling (-1987)","Fremskrittspartiet",50
"0725 Tjølling (-1987)","Høyre",1015
"0725 Tjølling (-1987)","Kristelig Folkeparti",452
"0725 Tjølling (-1987)","Senterpartiet",475
"0725 Tjølling (-1987)","Sosialistisk Venstreparti",114
"0725 Tjølling (-1987)","Venstre",213
"0725 Tjølling (-1987)","Norges Kommunistiske Parti",8
"0725 Tjølling (-1987)","Rød valgallianse",9
"0725 Tjølling (-1987)","Frie Folkevalgte",2
"0725 Tjølling (-1987)","Det nye Folkepartiet (1973-1977)",35
"0725 Tjølling (-1987)","Ensliges parti",2
"0725 Tjølling (-1987)","Norges demokratiske parti",1
"0726 Brunlanes (-1987)","Arbeiderpartiet",1636
"0726 Brunlanes (-1987)","Fremskrittspartiet",54
"0726 Brunlanes (-1987)","Høyre",1175
"0726 Brunlanes (-1987)","Kristelig Folkeparti",684
"0726 Brunlanes (-1987)","Senterpartiet",382
"0726 Brunlanes (-1987)","Sosialistisk Venstreparti",83
"0726 Brunlanes (-1987)","Venstre",232
"0726 Brunlanes (-1987)","Norges Kommunistiske Parti",4
"0726 Brunlanes (-1987)","Rød valgallianse",10
"0726 Brunlanes (-1987)","Det nye Folkepartiet (1973-1977)",53
"0726 Brunlanes (-1987)","Ensliges parti",3
"0726 Brunlanes (-1987)","Norges demokratiske parti",1
"0727 Hedrum (-1987)","Arbeiderpartiet",1987
"0727 Hedrum (-1987)","Fremskrittspartiet",100
"0727 Hedrum (-1987)","Høyre",1420
"0727 Hedrum (-1987)","Kristelig Folkeparti",775
"0727 Hedrum (-1987)","Senterpartiet",587
"0727 Hedrum (-1987)","Sosialistisk Venstreparti",120
"0727 Hedrum (-1987)","Venstre",198
"0727 Hedrum (-1987)","Norges Kommunistiske Parti",3
"0727 Hedrum (-1987)","Rød valgallianse",11
"0727 Hedrum (-1987)","Frie Folkevalgte",4
"0727 Hedrum (-1987)","Det nye Folkepartiet (1973-1977)",45
"0727 Hedrum (-1987)","Ensliges parti",1
"0727 Hedrum (-1987)","Norges demokratiske parti",4
"0728 Lardal","Arbeiderpartiet",715
"0728 Lardal","Fremskrittspartiet",17
"0728 Lardal","Høyre",239
"0728 Lardal","Kristelig Folkeparti",123
"0728 Lardal","Senterpartiet",316
"0728 Lardal","Sosialistisk Venstreparti",10
"0728 Lardal","Venstre",26
"0728 Lardal","Rød valgallianse",1
"0728 Lardal","Det nye Folkepartiet (1973-1977)",17
"0805 Porsgrunn","Arbeiderpartiet",9531
"0805 Porsgrunn","Fremskrittspartiet",304
"0805 Porsgrunn","Høyre",3359
"0805 Porsgrunn","Kristelig Folkeparti",2179
"0805 Porsgrunn","Senterpartiet",591
"0805 Porsgrunn","Sosialistisk Venstreparti",1165
"0805 Porsgrunn","Norges Kommunistiske Parti",70
"0805 Porsgrunn","Rød valgallianse",76
"0805 Porsgrunn","Frie Folkevalgte",8
"0805 Porsgrunn","Ensliges parti",10
"0805 Porsgrunn","Norges demokratiske parti",10
"0805 Porsgrunn","Fellesliste Venstre",791
"0805 Porsgrunn","Fellesliste Det nye Folkepartiet",558
"0806 Skien","Arbeiderpartiet",13073
"0806 Skien","Fremskrittspartiet",384
"0806 Skien","Høyre",5272
"0806 Skien","Kristelig Folkeparti",3659
"0806 Skien","Senterpartiet",1303
"0806 Skien","Sosialistisk Venstreparti",1524
"0806 Skien","Norges Kommunistiske Parti",133
"0806 Skien","Rød valgallianse",120
"0806 Skien","Frie Folkevalgte",10
"0806 Skien","Ensliges parti",24
"0806 Skien","Norges demokratiske parti",13
"0806 Skien","Fellesliste Venstre",981
"0806 Skien","Fellesliste Det nye Folkepartiet",404
"0807 Notodden","Arbeiderpartiet",4722
"0807 Notodden","Fremskrittspartiet",62
"0807 Notodden","Høyre",1000
"0807 Notodden","Kristelig Folkeparti",965
"0807 Notodden","Senterpartiet",610
"0807 Notodden","Sosialistisk Venstreparti",370
"0807 Notodden","Norges Kommunistiske Parti",25
"0807 Notodden","Rød valgallianse",72
"0807 Notodden","Frie Folkevalgte",3
"0807 Notodden","Ensliges parti",7
"0807 Notodden","Norges demokratiske parti",2
"0807 Notodden","Fellesliste Venstre",196
"0807 Notodden","Fellesliste Det nye Folkepartiet",69
"0811 Siljan","Arbeiderpartiet",506
"0811 Siljan","Fremskrittspartiet",12
"0811 Siljan","Høyre",99
"0811 Siljan","Kristelig Folkeparti",159
"0811 Siljan","Senterpartiet",138
"0811 Siljan","Sosialistisk Venstreparti",24
"0811 Siljan","Norges Kommunistiske Parti",1
"0811 Siljan","Rød valgallianse",2
"0811 Siljan","Fellesliste Venstre",50
"0811 Siljan","Fellesliste Det nye Folkepartiet",5
"0814 Bamble","Arbeiderpartiet",2966
"0814 Bamble","Fremskrittspartiet",83
"0814 Bamble","Høyre",1053
"0814 Bamble","Kristelig Folkeparti",805
"0814 Bamble","Senterpartiet",366
"0814 Bamble","Sosialistisk Venstreparti",259
"0814 Bamble","Norges Kommunistiske Parti",9
"0814 Bamble","Rød valgallianse",17
"0814 Bamble","Frie Folkevalgte",2
"0814 Bamble","Ensliges parti",7
"0814 Bamble","Norges demokratiske parti",2
"0814 Bamble","Fellesliste Venstre",189
"0814 Bamble","Fellesliste Det nye Folkepartiet",176
"0815 Kragerø","Arbeiderpartiet",2792
"0815 Kragerø","Fremskrittspartiet",77
"0815 Kragerø","Høyre",1036
"0815 Kragerø","Kristelig Folkeparti",934
"0815 Kragerø","Senterpartiet",370
"0815 Kragerø","Sosialistisk Venstreparti",283
"0815 Kragerø","Norges Kommunistiske Parti",20
"0815 Kragerø","Rød valgallianse",18
"0815 Kragerø","Frie Folkevalgte",6
"0815 Kragerø","Ensliges parti",2
"0815 Kragerø","Norges demokratiske parti",3
"0815 Kragerø","Fellesliste Venstre",339
"0815 Kragerø","Fellesliste Det nye Folkepartiet",108
"0817 Drangedal","Arbeiderpartiet",1300
"0817 Drangedal","Fremskrittspartiet",21
"0817 Drangedal","Høyre",197
"0817 Drangedal","Kristelig Folkeparti",490
"0817 Drangedal","Senterpartiet",322
"0817 Drangedal","Sosialistisk Venstreparti",80
"0817 Drangedal","Norges Kommunistiske Parti",5
"0817 Drangedal","Rød valgallianse",5
"0817 Drangedal","Frie Folkevalgte",2
"0817 Drangedal","Ensliges parti",3
"0817 Drangedal","Fellesliste Venstre",156
"0817 Drangedal","Fellesliste Det nye Folkepartiet",57
"0819 Nome","Arbeiderpartiet",2049
"0819 Nome","Fremskrittspartiet",38
"0819 Nome","Høyre",467
"0819 Nome","Kristelig Folkeparti",608
"0819 Nome","Senterpartiet",636
"0819 Nome","Sosialistisk Venstreparti",281
"0819 Nome","Norges Kommunistiske Parti",1
"0819 Nome","Rød valgallianse",6
"0819 Nome","Ensliges parti",3
"0819 Nome","Norges demokratiske parti",4
"0819 Nome","Fellesliste Venstre",115
"0819 Nome","Fellesliste Det nye Folkepartiet",55
"0821 Bø (Telem.)","Arbeiderpartiet",1071
"0821 Bø (Telem.)","Fremskrittspartiet",32
"0821 Bø (Telem.)","Høyre",289
"0821 Bø (Telem.)","Kristelig Folkeparti",336
"0821 Bø (Telem.)","Senterpartiet",448
"0821 Bø (Telem.)","Sosialistisk Venstreparti",109
"0821 Bø (Telem.)","Norges Kommunistiske Parti",2
"0821 Bø (Telem.)","Rød valgallianse",15
"0821 Bø (Telem.)","Ensliges parti",1
"0821 Bø (Telem.)","Fellesliste Venstre",197
"0821 Bø (Telem.)","Fellesliste Det nye Folkepartiet",13
"0822 Sauherad","Arbeiderpartiet",1134
"0822 Sauherad","Fremskrittspartiet",23
"0822 Sauherad","Høyre",255
"0822 Sauherad","Kristelig Folkeparti",291
"0822 Sauherad","Senterpartiet",467
"0822 Sauherad","Sosialistisk Venstreparti",92
"0822 Sauherad","Norges Kommunistiske Parti",4
"0822 Sauherad","Rød valgallianse",1
"0822 Sauherad","Frie Folkevalgte",2
"0822 Sauherad","Ensliges parti",2
"0822 Sauherad","Fellesliste Venstre",162
"0822 Sauherad","Fellesliste Det nye Folkepartiet",9
"0826 Tinn","Arbeiderpartiet",2929
"0826 Tinn","Fremskrittspartiet",41
"0826 Tinn","Høyre",648
