"kommune","parti","stemmer"
"0131 Rolvsøy (1911-1993)","Norges demokratiske parti",5
"0131 Rolvsøy (1911-1993)","Sosialistisk Valgforbund (1973)",410
"0133 Kråkerøy (1908-1993)","Arbeiderpartiet",1817
"0133 Kråkerøy (1908-1993)","Høyre",927
"0133 Kråkerøy (1908-1993)","Kristelig Folkeparti",455
"0133 Kråkerøy (1908-1993)","Senterpartiet",92
"0133 Kråkerøy (1908-1993)","Venstre",62
"0133 Kråkerøy (1908-1993)","Rød valgallianse",10
"0133 Kråkerøy (1908-1993)","Det nye Folkepartiet (1973-1977)",48
"0133 Kråkerøy (1908-1993)","Anders Langes parti (1973)",170
"0133 Kråkerøy (1908-1993)","Ensliges parti",5
"0133 Kråkerøy (1908-1993)","Kvinnenes frie folkevalgte",3
"0133 Kråkerøy (1908-1993)","Norges demokratiske parti",6
"0133 Kråkerøy (1908-1993)","Sosialistisk Valgforbund (1973)",658
"0134 Onsøy (-1993)","Arbeiderpartiet",2407
"0134 Onsøy (-1993)","Høyre",1182
"0134 Onsøy (-1993)","Kristelig Folkeparti",1180
"0134 Onsøy (-1993)","Senterpartiet",486
"0134 Onsøy (-1993)","Venstre",136
"0134 Onsøy (-1993)","Rød valgallianse",7
"0134 Onsøy (-1993)","Det nye Folkepartiet (1973-1977)",58
"0134 Onsøy (-1993)","Anders Langes parti (1973)",274
"0134 Onsøy (-1993)","Ensliges parti",7
"0134 Onsøy (-1993)","Kvinnenes frie folkevalgte",13
"0134 Onsøy (-1993)","Norges demokratiske parti",9
"0134 Onsøy (-1993)","Sosialistisk Valgforbund (1973)",601
"0135 Råde","Arbeiderpartiet",892
"0135 Råde","Høyre",341
"0135 Råde","Kristelig Folkeparti",527
"0135 Råde","Senterpartiet",464
"0135 Råde","Venstre",17
"0135 Råde","Rød valgallianse",9
"0135 Råde","Det nye Folkepartiet (1973-1977)",30
"0135 Råde","Anders Langes parti (1973)",87
"0135 Råde","Ensliges parti",4
"0135 Råde","Kvinnenes frie folkevalgte",1
"0135 Råde","Norges demokratiske parti",3
"0135 Råde","Sosialistisk Valgforbund (1973)",186
"0136 Rygge","Arbeiderpartiet",1748
"0136 Rygge","Høyre",1352
"0136 Rygge","Kristelig Folkeparti",450
"0136 Rygge","Senterpartiet",605
"0136 Rygge","Venstre",66
"0136 Rygge","Rød valgallianse",23
"0136 Rygge","Det nye Folkepartiet (1973-1977)",151
"0136 Rygge","Anders Langes parti (1973)",255
"0136 Rygge","Ensliges parti",5
"0136 Rygge","Kvinnenes frie folkevalgte",6
"0136 Rygge","Norges demokratiske parti",5
"0136 Rygge","Sosialistisk Valgforbund (1973)",483
"0137 Våler (Østf.)","Arbeiderpartiet",334
"0137 Våler (Østf.)","Høyre",219
"0137 Våler (Østf.)","Kristelig Folkeparti",177
"0137 Våler (Østf.)","Senterpartiet",337
"0137 Våler (Østf.)","Venstre",32
"0137 Våler (Østf.)","Rød valgallianse",4
"0137 Våler (Østf.)","Det nye Folkepartiet (1973-1977)",24
"0137 Våler (Østf.)","Anders Langes parti (1973)",47
"0137 Våler (Østf.)","Ensliges parti",1
"0137 Våler (Østf.)","Kvinnenes frie folkevalgte",1
"0137 Våler (Østf.)","Norges demokratiske parti",2
"0137 Våler (Østf.)","Sosialistisk Valgforbund (1973)",84
"0138 Hobøl","Arbeiderpartiet",620
"0138 Hobøl","Høyre",214
"0138 Hobøl","Kristelig Folkeparti",181
"0138 Hobøl","Senterpartiet",440
"0138 Hobøl","Venstre",14
"0138 Hobøl","Rød valgallianse",3
"0138 Hobøl","Det nye Folkepartiet (1973-1977)",14
"0138 Hobøl","Anders Langes parti (1973)",73
"0138 Hobøl","Ensliges parti",6
"0138 Hobøl","Kvinnenes frie folkevalgte",3
"0138 Hobøl","Norges demokratiske parti",1
"0138 Hobøl","Sosialistisk Valgforbund (1973)",158
"0211 Vestby","Arbeiderpartiet",1243
"0211 Vestby","Høyre",650
"0211 Vestby","Kristelig Folkeparti",257
"0211 Vestby","Senterpartiet",598
"0211 Vestby","Venstre",43
"0211 Vestby","Rød valgallianse",7
"0211 Vestby","Det nye Folkepartiet (1973-1977)",119
"0211 Vestby","Anders Langes parti (1973)",209
"0211 Vestby","Ensliges parti",3
"0211 Vestby","Kvinnenes frie folkevalgte",5
"0211 Vestby","Norges demokratiske parti",3
"0211 Vestby","Sosialistisk Valgforbund (1973)",386
"0213 Ski","Arbeiderpartiet",2735
"0213 Ski","Høyre",2019
"0213 Ski","Kristelig Folkeparti",657
"0213 Ski","Senterpartiet",765
"0213 Ski","Venstre",239
"0213 Ski","Rød valgallianse",47
